equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
5393,EQ ID 5393,Foam Soap Dispensers (at sinks),Maintenance,19884,"• Remove Nozzle Tip with mesh screen and run under warm water.
     • To remove Nozzle Tip for cleaning, cover the Sensor area with
        your finger to prevent dispensing of soap. Turn Nozzle to the left to
        loosen. Rinse Nozzle under hot water to loosen any soap residue and
        replace. Turn Nozzle to the right to tighten
• Place hand under Nozzle Tip to be sure soap is properly dispensed
• Gently wipe the dispenser with a cloth moistened with warm water and a diluted
neutral detergent
• Clean area between Lid and Spout to keep Lid swing free of soap residue
• Flush the system when minimal amount of soap is left in the bottle
       • Open the top-fill door using the BobKey, rotate door clockwise
       • Fill the dispenser with warm water.
       • Press the Automatic Flush Button located on the bottom housing assembly, just
          above the Partition Control Knob.
       • Once unit is flushed, Press the Automatic Flush Button again to stop dispensing.
       • Fill unit with fresh soap.
• Place hand under Nozzle Tip to be sure soap is properly dispensed.

I found this information online (Advisory Bulletin). https://www.bobrick.com/wp-content/uploads/TB-99.pdf

NOTES:
Please be concerned with the traffic on the sink usage, PM will take about ten to twenty mins for each unit. Depending on the soap amount inside the container.
If possible, perform the PM partially to allow the traffic to use the other sink. 
To save soap, it's best to perform the PM when the soap is at low level. Maybe early morning or late afternoon.",Closed and Completed,6/17/2026,"Colton, PU",0.00,0.00,0.00,6/19/2026,,[]
5390,EQ ID 5390,Office Chairs,Maintenance,19704,"Check the condition of the office chair arm pads. This includes all of the chairs inside of the conference, training and offices. Replace the arm pads as needed.",Pending,7/4/2026,,0.00,0.00,0.00,,,[]
5390,EQ ID 5390,Office Chairs,Maintenance,19439,"This includes all chairs in the building (open office, conference, office, training, lunch room, etc). 
ALL CHAIRS:
Check to make sure all hardware is tight 
Check to see if there are signs of any cracking on the structural frame
Check to make sure chairs are level (no rocking back and forth)
Check cleanliness (stains, tears, etc)
ROLLING CHAIRS:
Clean and check casters as needed
Make sure cylinder is working
Check the tilt and other functions
BREAK ROOM CHAIRS:
Check the chairs feet (they are level and they have glides)
Look for cracks or deforming",Closed and Completed,5/29/2026,Max,0.30,0.00,0.00,6/3/2026,"Maksim Bushka - 06/04/26  1:06:16 PM: Scheduled Date: 05/29/2026
Parts Needed: NO
Parts Ordered: NO
Expected Delivery Date: N/A
General Notes: Checked out ok",[]
5390,EQ ID 5390,Office Chairs,Maintenance,19438,"Check the condition of the office chair arm pads. This includes all of the chairs inside of the conference, training and offices. Replace the arm pads as needed.",Closed and Completed,5/29/2026,Max,0.30,0.00,0.00,6/3/2026,"Maksim Bushka - 06/04/26  1:04:43 PM: Scheduled Date: 05/29/2026
Parts Needed: NO
Parts Ordered: NO
Expected Delivery Date: N/A
General Notes: Checked up ok",[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,29,"(1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",Closed and Completed,4/18/2022,mike,0.50,0.00,0.00,4/7/2022,Miguel Diaz - 04/08/22  9:59:11 AM: checked unit all is working,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,2604,"(1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",Closed and Completed,11/13/2022,Gardner denver,0.50,0.00,0.00,10/31/2022,Miguel Diaz - 11/07/22  7:33:40 AM: compressor was just serviced for an annual service,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,3134,"(1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",Closed and Completed,12/7/2022,md,0.40,0.00,0.00,12/1/2022,"Miguel Diaz - 12/01/22  8:18:55 AM: checked e stop 
checked oil level when on 
removed and cleaned air filter",[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,3387,"(1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",Closed and Completed,1/1/2023,mike,0.50,0.00,0.00,1/2/2023,,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,3931,"(1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",Closed and Completed,2/12/2023,md,0.00,0.00,0.00,1/23/2023,,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,4095,"(1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",Closed and Completed,2/23/2023,md,0.50,0.00,0.00,2/10/2023,"Miguel Diaz - 02/10/23 11:24:21 AM: 1) Check Safety Devices (Red E-stop button)
(2) Check Separator Differ. Indicator (Listen for blow by)
(3) Check Sump Oil Level-Warm (Check gauge Arrow pointed towards the green)
(4) Check Air filter (make sure  unit is off  before checking filter)
Open side cover & remove and blow off. (Check for foreign matter)
(5) Check radiator. Make sure it's clean and blow off if needed .",[]
